feature,coefficient,absolute_importance
cat__magnitude_type_mww,4.360570543767134,4.360570543767134
cat__magnitude_type_md,-3.846543516931096,3.846543516931096
cat__magnitude_type_ml,-2.576029026867502,2.576029026867502
cat__net_pr,2.248015788556701,2.248015788556701
cat__net_us,2.1777219081035133,2.1777219081035133
cat__magnitude_type_mb,1.713610132950577,1.713610132950577
cat__net_ci,-1.3160848472035798,1.3160848472035798
cat__magnitude_type_mb_lg,-1.1111808748304222,1.1111808748304222
cat__net_tx,-1.0076275411025337,1.0076275411025337
cat__net_av,-0.9756885071852628,0.9756885071852628
num__felt,0.9320209980035278,0.9320209980035278
cat__net_nc,-0.9263204796170856,0.9263204796170856
cat__magnitude_type_mwr,0.9197633763335848,0.9197633763335848
cat__net_ak,0.884480427372047,0.884480427372047
cat__net_uw,-0.8541147325425683,0.8541147325425683
cat__net_hv,0.8165952020390839,0.8165952020390839
cat__status_automatic,-0.8023601062028871,0.8023601062028871
cat__magnitude_type_mwb,0.7180537334090764,0.7180537334090764
cat__magnitude_type_mw,-0.5406058055272451,0.5406058055272451
cat__net_nn,-0.5195319608959978,0.5195319608959978
